# code,annotations_organism,cog_taxid,no rank,superkingdom,phylum,class,order,family,genus,species,taxid,clade,strain,subspecies,species group,subphylum,suborder,subclass,isolate,subfamily,forma specialis,serotype,serogroup,tribe
Ignalb,Ignavibacterium album JCM 16511,945713,cellular organisms,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,Ignavibacterium album,945713,Bacteroidetes/Chlorobi group,Ignavibacterium album JCM 16511,,,,,,,,,,,
Ignhos,Ignicoccus hospitalis KIN4/I,453591,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus hospitalis,453591,TACK group,Ignicoccus hospitalis KIN4/I,,,,,,,,,,,
Ilypol,Ilyobacter polytropus DSM 2926,572544,cellular organisms,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,Ilyobacter polytropus,572544,,Ilyobacter polytropus DSM 2926,,,,,,,,,,,
Intcal,Intrasporangium calvum DSM 43043,710696,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Intrasporangium,Intrasporangium calvum,710696,Terrabacteria group,Intrasporangium calvum DSM 43043,,,,,,,,,,,
Isopal,Isosphaera pallida ATCC 43644,575540,cellular organisms,Bacteria,Planctomycetes,Planctomycetia,Isosphaerales,Isosphaeraceae,Isosphaera,Isosphaera pallida,575540,PVC group,Isosphaera pallida ATCC 43644,,,,,,,,,,,
Isovar,Isoptericola variabilis 225,743718,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Isoptericola,Isoptericola variabilis,743718,Terrabacteria group,Isoptericola variabilis 225,,,,,,,,,,,
Janccs,Jannaschia sp. CCS1,290400,unclassified Jannaschia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,Jannaschia sp. CCS1,290400,,,,,,,,,,,,,
Janmar,Janthinobacterium sp. Marseille,375286,unclassified Janthinobacterium,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. Marseille,375286,,,,,,,,,,,,,
Jonden,Jonesia denitrificans DSM 20603,471856,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Jonesiaceae,Jonesia,Jonesia denitrificans,471856,Terrabacteria group,Jonesia denitrificans DSM 20603,,,,,,,,,,,
Kankor,Kangiella koreensis DSM 16069,523791,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Kangiella,Kangiella koreensis,523791,,Kangiella koreensis DSM 16069,,,,,,,,,,,
Ketvul,Ketogulonicigenium vulgare Y25,880591,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ketogulonicigenium,Ketogulonicigenium vulgare,880591,,Ketogulonicigenium vulgare Y25,,,,,,,,,,,
Kindes,Candidatus Kinetoplastibacterium desouzaii TCC079E,1208919,Betaproteobacteria incertae sedis,Bacteria,Proteobacteria,Betaproteobacteria,,,Candidatus Kinetoplastibacterium,Candidatus Kinetoplastibacterium desouzaii,1208919,,Candidatus Kinetoplastibacterium desouzaii TCC079E,,,,,,,,,,,
Kinrad,Kineococcus radiotolerans SRS30216 = ATCC BAA-149,266940,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Kineosporiales,Kineosporiaceae,Kineococcus,Kineococcus radiotolerans,266940,Terrabacteria group,Kineococcus radiotolerans SRS30216 = ATCC BAA-149,,,,,,,,,,,
Kitset,Kitasatospora setae KM-6054,452652,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora setae,452652,Terrabacteria group,Kitasatospora setae KM-6054,,,,,,,,,,,
Klepne,Klebsiella pneumoniae,507522,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,507522,,Klebsiella pneumoniae 342,,,,,,,,,,,
Kocrhi,Kocuria rhizophila DC2201,378753,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Kocuria,Kocuria rhizophila,378753,Terrabacteria group,Kocuria rhizophila DC2201,,,,,,,,,,,
Korcry,Candidatus Korarchaeum cryptofilum OPF8,374847,cellular organisms,Archaea,Candidatus Korarchaeota,,,,Candidatus Korarchaeum,Candidatus Korarchaeum cryptofilum,374847,TACK group,Candidatus Korarchaeum cryptofilum OPF8,,,,,,,,,,,
Korver,Candidatus Koribacter versatilis Ellin345,204669,cellular organisms,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Candidatus Koribacter,Candidatus Koribacter versatilis,204669,,,,,,,,Candidatus Koribacter versatilis Ellin345,,,,,
Kosole,Kosmotoga olearia TBF 19.5.1,521045,cellular organisms,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,Kosmotoga olearia,521045,,Kosmotoga olearia TBF 19.5.1,,,,,,,,,,,
Krifla,Kribbella flavida DSM 17836,479435,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Kribbellaceae,Kribbella,Kribbella flavida,479435,Terrabacteria group,Kribbella flavida DSM 17836,,,,,,,,,,,
Kro4h3,Dokdonia sp. 4H-3-7-5,983548,unclassified Dokdonia,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia sp. 4H-3-7-5,983548,Bacteroidetes/Chlorobi group,,,,,,,,,,,,
Kyrtus,Kyrpidia tusciae DSM 2912,562970,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia,Kyrpidia tusciae,562970,Terrabacteria group,Kyrpidia tusciae DSM 2912,,,,,,,,,,,
Kytsed,Kytococcus sedentarius DSM 20547,478801,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Kytococcaceae,Kytococcus,Kytococcus sedentarius,478801,Terrabacteria group,Kytococcus sedentarius DSM 20547,,,,,,,,,,,
Lac5h3,Lacinutrix sp. 5H-3-7-4,983544,unclassified Lacinutrix,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,Lacinutrix sp. 5H-3-7-4,983544,Bacteroidetes/Chlorobi group,,,,,,,,,,,,
Laclac,Lactococcus lactis subsp. lactis Il1403,272623,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,272623,Terrabacteria group,Lactococcus lactis subsp. lactis Il1403,Lactococcus lactis subsp. lactis,,,,,,,,,,
Lacpla,Lactobacillus plantarum ZJ316,1284663,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,1284663,Terrabacteria group,Lactobacillus plantarum ZJ316,,,,,,,,,,,
Larhon,Laribacter hongkongensis HLHK9,557598,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,Laribacter hongkongensis,557598,,Laribacter hongkongensis HLHK9,,,,,,,,,,,
Lawint,Lawsonia intracellularis N343,1234378,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,Lawsonia intracellularis,1234378,,Lawsonia intracellularis N343,,,delta/epsilon subdivisions,,,,,,,,
Leabys,Leadbetterella byssophila DSM 17132,649349,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella,Leadbetterella byssophila,649349,Bacteroidetes/Chlorobi group,Leadbetterella byssophila DSM 17132,,,,,,,,,,,
Legpne,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,272624,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,272624,,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Legionella pneumophila subsp. pneumophila,,,,,,,,,,
Leimet,Leisingera methylohalidivorans DSM 14336,999552,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera,Leisingera methylohalidivorans,999552,,Leisingera methylohalidivorans DSM 14336,,,,,,,,,,,
Leixyl,Leifsonia xyli subsp. cynodontis DSM 46306,1389489,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia xyli,1389489,Terrabacteria group,Leifsonia xyli subsp. cynodontis DSM 46306,Leifsonia xyli subsp. cynodontis,,,,,,,,,,
Lepbif,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',456481,Leptospira biflexa serovar Patoc,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira biflexa,456481,,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',,,,,,,,,,,
Lepbuc,Leptotrichia buccalis C-1013-b,523794,cellular organisms,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia buccalis,523794,,Leptotrichia buccalis C-1013-b,,,,,,,,,,,
Lepcho,Leptothrix cholodnii SP-6,395495,Burkholderiales genera incertae sedis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Leptothrix,Leptothrix cholodnii,395495,,Leptothrix cholodnii SP-6,,,,,,,,,,,
Lepfer,Leptospirillum ferriphilum ML-04,1048260,cellular organisms,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum ferriphilum,1048260,,Leptospirillum ferriphilum ML-04,,Leptospirillum sp. Group III,,,,,,,,,
Leppcc,Leptolyngbya sp. PCC 7376,111781,unclassified Leptolyngbya,Bacteria,Cyanobacteria,,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp. PCC 7376,111781,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,
Leukim,Leuconostoc kimchii IMSNU 11154,762051,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc kimchii,762051,Terrabacteria group,Leuconostoc kimchii IMSNU 11154,,,,,,,,,,,
Libsol,Candidatus Liberibacter solanacearum CLso-ZC1,658172,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Liberibacter,Candidatus Liberibacter solanacearum,658172,,Candidatus Liberibacter solanacearum CLso-ZC1,,,,,,,,,,,
Lisang,Vibrio anguillarum M3,882944,Vibrio anguillarum serovar O1,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio anguillarum,882944,,Vibrio anguillarum M3,,,,,,,,,,,
Lisinn,Listeria innocua Clip11262,272626,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria innocua,272626,Terrabacteria group,Listeria innocua Clip11262,,,,,,,,,,,
Lyssph,Lysinibacillus sphaericus C3-41,444177,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sphaericus,444177,Terrabacteria group,Lysinibacillus sphaericus C3-41,,,,,,,,,,,
Maccas,Macrococcus caseolyticus JCSC5402,458233,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus caseolyticus,458233,Terrabacteria group,Macrococcus caseolyticus JCSC5402,,,,,,,,,,,
Magmag,Magnetospirillum magneticum AMB-1,342108,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum magneticum,342108,,Magnetospirillum magneticum AMB-1,,,,,,,,,,,
Magmc1,Magnetococcus marinus MC-1,156889,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus,156889,,Magnetococcus marinus MC-1,,,,,,,,,,,
Mahaus,Mahella australiensis 50-1 BON,697281,cellular organisms,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family IV. Incertae Sedis,Mahella,Mahella australiensis,697281,Terrabacteria group,Mahella australiensis 50-1 BON,,,,,,,,,,,
Manhae,Mannheimia haemolytica M42548,1316932,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica,1316932,,Mannheimia haemolytica M42548,,,,,,,,,,,
Maradh,Marinobacter adhaerens HP15,225937,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter adhaerens,225937,,Marinobacter adhaerens HP15,,,,,,,,,,,
Marhyd,Marinithermus hydrothermalis DSM 14884,869210,cellular organisms,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Marinithermus,Marinithermus hydrothermalis,869210,Terrabacteria group,Marinithermus hydrothermalis DSM 14884,,,,,,,,,,,
Marmar,Maricaulis maris MCS10,394221,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Maricaulales,Maricaulaceae,Maricaulis,Maricaulis maris,394221,,Maricaulis maris MCS10,,,,,,,,,,,
Marmwy,Marinomonas sp. MWYL1,400668,unclassified Marinomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas sp. MWYL1,400668,,,,,,,,,,,,,
Marpie,Marinitoga piezophila KA3,443254,cellular organisms,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,Marinitoga piezophila,443254,,Marinitoga piezophila KA3,,,,,,,,,,,
Martra,Marivirga tractuosa DSM 4126,643867,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Marivirgaceae,Marivirga,Marivirga tractuosa,643867,Bacteroidetes/Chlorobi group,Marivirga tractuosa DSM 4126,,,,,,,,,,,
Megels,Megasphaera elsdenii DSM 20460,1064535,cellular organisms,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,1064535,Terrabacteria group,Megasphaera elsdenii DSM 20460,,,,,,,,,,,
Meghyp,Megamonas hypermegale ART12/1,657316,cellular organisms,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,657316,Terrabacteria group,Megamonas hypermegale ART12/1,,,,,,,,,,,
Meisil,Meiothermus silvanus DSM 9946,526227,cellular organisms,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,Meiothermus silvanus,526227,Terrabacteria group,Meiothermus silvanus DSM 9946,,,,,,,,,,,
Melplu,Melissococcus plutonius ATCC 35311,940190,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,940190,Terrabacteria group,Melissococcus plutonius ATCC 35311,,,,,,,,,,,
Melros,Melioribacter roseus P3M-2,1191523,cellular organisms,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Melioribacter,Melioribacter roseus,1191523,Bacteroidetes/Chlorobi group,Melioribacter roseus P3M-2,,,,,,,,,,,
Mesflo,Mesoplasma florum W37,1406864,cellular organisms,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,Mesoplasma florum,1406864,Terrabacteria group,Mesoplasma florum W37,,,,,,,,,,,
Meslot,Mesorhizobium japonicum MAFF 303099,266835,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium japonicum,266835,,Mesorhizobium japonicum MAFF 303099,,,,,,,,,,,
Mespri,Mesotoga prima MesG1.Ag.4.2,660470,cellular organisms,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga prima,660470,,Mesotoga prima MesG1.Ag.4.2,,,,,,,,,,,
Met301,Methylotenera versatilis 301,666681,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,Methylotenera versatilis,666681,,Methylotenera versatilis 301,,,,,,,,,,,
Metace,Methanosarcina acetivorans C2A,188937,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina acetivorans,188937,Stenosarchaea group,Methanosarcina acetivorans C2A,,,,,,,,,,,
Metal2,Methanobacterium lacus,868132,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium lacus,868132,Methanomada group,,,,,,,,,,,,
Metalc,Methylomicrobium alcaliphilum 20Z,1091494,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylotuvimicrobium,Methylotuvimicrobium alcaliphilum,1091494,,Methylotuvimicrobium alcaliphilum 20Z,,,,,,,,,,,
Metarv,Methanocella arvoryzae MRE50,351160,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella arvoryzae,351160,Stenosarchaea group,Methanocella arvoryzae MRE50,,,,,,,,,,,
Metbou,Methanoculleus bourgensis MS2,1201294,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus bourgensis,1201294,Stenosarchaea group,Methanoculleus bourgensis MS2,,,,,,,,,,,
Metbur,Methanococcoides burtonii DSM 6242,259564,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,259564,Stenosarchaea group,Methanococcoides burtonii DSM 6242,,,,,,,,,,,
Metcap,Methylococcus capsulatus str. Bath,243233,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,Methylococcus capsulatus,243233,,Methylococcus capsulatus str. Bath,,,,,,,,,,,
Metcon,Methanothrix soehngenii GP6,990316,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae,Methanothrix,Methanothrix soehngenii,990316,Stenosarchaea group,Methanothrix soehngenii GP6,,,,,,,,,,,
Meteve,Methanohalobium evestigatum Z-7303,644295,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,Methanohalobium evestigatum,644295,Stenosarchaea group,Methanohalobium evestigatum Z-7303,,,,,,,,,,,
Metfer,Methanothermus fervidus DSM 2088,523846,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,Methanothermus fervidus,523846,Methanomada group,Methanothermus fervidus DSM 2088,,,,,,,,,,,
Metfla,Methylobacillus flagellatus KT,265072,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus,265072,,Methylobacillus flagellatus KT,,,,,,,,,,,
Metfor,Methanoregula formicica SMSP,593750,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula formicica,593750,Stenosarchaea group,Methanoregula formicica SMSP,,,,,,,,,,,
Metglu,Methylovorus glucosetrophus SIP3-4,582744,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylovorus,Methylovorus glucosotrophus,582744,,Methylovorus glucosetrophus SIP3-4,,,,,,,,,,,
Methol,Methanomethylovorans hollandica DSM 15978,867904,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans hollandica,867904,Stenosarchaea group,Methanomethylovorans hollandica DSM 15978,,,,,,,,,,,
Methun,Methanospirillum hungatei JF-1,323259,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,323259,Stenosarchaea group,Methanospirillum hungatei JF-1,,,,,,,,,,,
Metign,Methanotorris igneus Kol 5,880724,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,Methanotorris igneus,880724,Methanomada group,Methanotorris igneus Kol 5,,,,,,,,,,,
Metinf,Methylacidiphilum infernorum V4,481448,cellular organisms,Bacteria,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum,Methylacidiphilum infernorum,481448,PVC group,Methylacidiphilum infernorum V4,,,,,,,,,,,
Metjam,Methylophaga nitratireducenticrescens,754476,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,Methylophaga nitratireducenticrescens,754476,,,,,,,,,,,,,
Metjan,Methanocaldococcus jannaschii DSM 2661,243232,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,243232,Methanomada group,Methanocaldococcus jannaschii DSM 2661,,,,,,,,,,,
Metkan,Methanopyrus kandleri AV19,190192,cellular organisms,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,190192,,Methanopyrus kandleri AV19,,,,,,,,,,,
Metlab,Methanocorpusculum labreanum Z,410358,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,410358,Stenosarchaea group,Methanocorpusculum labreanum Z,,,,,,,,,,,
Metmah,Methanohalophilus mahii DSM 5219,547558,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus mahii,547558,Stenosarchaea group,Methanohalophilus mahii DSM 5219,,,,,,,,,,,
Metmar,Methanococcus maripaludis S2,267377,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,267377,Methanomada group,Methanococcus maripaludis S2,,,,,,,,,,,
Metmet,Methylomonas methanica MC09,857087,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Methylomonas methanica,857087,,Methylomonas methanica MC09,,,,,,,,,,,
Metmx1,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1295009,cellular organisms,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Candidatus Methanomassiliicoccus intestinalis,1295009,,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,,,,,,,,,,,
Metnod,Methylobacterium nodulans ORS 2060,460265,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium nodulans,460265,,Methylobacterium nodulans ORS 2060,,,,,,,,,,,
Metoki,Methanothermococcus okinawensis IH1,647113,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,Methanothermococcus okinawensis,647113,Methanomada group,Methanothermococcus okinawensis IH1,,,,,,,,,,,
Metoxy,Candidatus Methylomirabilis oxyfera,671143,Bacteria incertae sedis,Bacteria,candidate division NC10,,,,Candidatus Methylomirabilis,Candidatus Methylomirabilis oxyfera,671143,Bacteria candidate phyla,,,,,,,,,,,,
Metp01,Methylibium petroleiphilum PM1,420662,Burkholderiales genera incertae sedis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Methylibium,Methylibium petroleiphilum,420662,,Methylibium petroleiphilum PM1,,,,,,,,,,,
Metpal,Methanosphaerula palustris E1-9c,521011,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,Methanosphaerula palustris,521011,Stenosarchaea group,Methanosphaerula palustris E1-9c,,,,,,,,,,,
Metpet,Methanolacinia petrolearia DSM 11571,679926,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,Methanolacinia petrolearia,679926,Stenosarchaea group,Methanolacinia petrolearia DSM 11571,,,,,,,,,,,
Metpsy,Methanolobus psychrophilus R15,1094980,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus psychrophilus,1094980,Stenosarchaea group,Methanolobus psychrophilus R15,,,,,,,,,,,
Metrum,Methanobrevibacter ruminantium M1,634498,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter ruminantium,634498,Methanomada group,Methanobrevibacter ruminantium M1,,,,,,,,,,,
Metsc2,Methylocystis sp. SC2,187303,unclassified Methylocystis,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Methylocystis sp. SC2,187303,,,,,,,,,,,,,
Metsed,Metallosphaera sedula DSM 5348,399549,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula,399549,TACK group,Metallosphaera sedula DSM 5348,,,,,,,,,,,
Metsil,Methylocella silvestris BL2,395965,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocella,Methylocella silvestris,395965,,Methylocella silvestris BL2,,,,,,,,,,,
Metsta,Methanosphaera stadtmanae DSM 3091,339860,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,339860,Methanomada group,Methanosphaera stadtmanae DSM 3091,,,,,,,,,,,
Metthe,Methanothermobacter thermautotrophicus str. Delta H,187420,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus,187420,Methanomada group,Methanothermobacter thermautotrophicus str. Delta H,,,,,,,,,,,
Metzhi,Methanosalsum zhilinae DSM 4017,679901,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosalsum,Methanosalsum zhilinae,679901,Stenosarchaea group,Methanosalsum zhilinae DSM 4017,,,,,,,,,,,
Mica01,Microcystis aeruginosa NIES-843,449447,cellular organisms,Bacteria,Cyanobacteria,,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,449447,Cyanobacteria/Melainabacteria group,Microcystis aeruginosa NIES-843,,,,,Oscillatoriophycideae,,,,,,
Micaer,Micavibrio aeruginosavorus ARL-13,856793,Alphaproteobacteria incertae sedis,Bacteria,Proteobacteria,Alphaproteobacteria,,,Micavibrio,Micavibrio aeruginosavorus,856793,,Micavibrio aeruginosavorus ARL-13,,,,,,,,,,,
Micaur,Micromonospora aurantiaca ATCC 27029,644283,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora aurantiaca,644283,Terrabacteria group,Micromonospora aurantiaca ATCC 27029,,,,,,,,,,,
